Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri May  1 15:08:20 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_inter_8.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+-------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs |  SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                     (U_CMD6_WR)                                                                                                                         |                                                                        xsdbm_4_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |          2 |          2 |       0 |     0 |     20 |      0 |      0 |    0 |          0 |
|                     U_WR_FIFO                                                                                                                           |                                                                       xsdbm_4_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |         38 |         28 |      10 |     0 |     90 |      0 |      0 |    0 |          0 |
|                       (U_WR_FIFO)                                                                                                                       |                                                                       xsdbm_4_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |          1 |          1 |       0 |     0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst                                                                                             |                                                                    xsdbm_4_fifo_generator_v13_1_4 | Reconfigurable |            - |         37 |         27 |      10 |     0 |     90 |      0 |      0 |    0 |          0 |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst)                                                                                         |                                                                    xsdbm_4_fifo_generator_v13_1_4 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                                              xsdbm_4_fifo_generator_v13_1_4_synth | Reconfigurable |            - |         37 |         27 |      10 |     0 |     90 |      0 |      0 |    0 |          0 |
|                           gconvfifo.rf                                                                                                                  |                                                                        xsdbm_4_fifo_generator_top | Reconfigurable |            - |         37 |         27 |      10 |     0 |     90 |      0 |      0 |    0 |          0 |
|                             grf.rf                                                                                                                      |                                                                    xsdbm_4_fifo_generator_ramfifo | Reconfigurable |            - |         37 |         27 |      10 |     0 |     90 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gcx.clkx                                                                                                |                                                                               xsdbm_4_clk_x_pntrs | Reconfigurable |            - |         11 |         11 |       0 |     0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.gcx.clkx)                                                                                            |                                                                               xsdbm_4_clk_x_pntrs | Reconfigurable |            - |          9 |          9 |       0 |     0 |     16 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                    |                                                           xsdbm_4_synchronizer_ff__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                    |                                                         xsdbm_4_synchronizer_ff__parameterized0_3 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      4 |      0 |      0 |    0 |          0 |
